# F12 HELD-OUT-CIRCUIT STABILITY VERDICT: FAIL (n_pass=0/5) -- see .agent-work\625-segmentation-substrate\artifacts\f12_holdout_stability.json
# CAVEAT: this rollup's class-membership substrate did NOT pass its held-out-circuit stability check -- treat class-level sub-shares as provisional, not validated.
# metadata: .agent-work\625-segmentation-substrate\artifacts\regime_time_share.meta.json
# generated_utc: 2026-07-18T07:13:07.603067+00:00
gp_name,corner_distance_share,straight_distance_share,corner_class_0_distance_share,corner_class_1_distance_share,corner_class_2_distance_share,n_laps,n_rows
Abu Dhabi,0.6625881834215167,0.3374118165784833,0.07041185770994825,0.45982545037193984,0.13235087533962517,1134,24044
Australia,0.8391522988505747,0.16084770114942526,0.09779687391848767,0.4082093874816794,0.3331460374504028,870,23362
Austria,0.6179879728240911,0.3820120271759089,0.10267924073099603,0.33051340785774236,0.18479532423535233,2723,53849
Azerbaijan,0.5977472731779871,0.40225272682201285,0.024284536280107905,0.3996360337866885,0.17382670311119294,2017,38581
Bahrain,0.5234455292908531,0.4765544707091469,0.0075107979398650136,0.3826917355594214,0.13324299579156781,1946,32596
Brazil,0.7172317813765182,0.2827682186234818,0.07081081382842108,0.4319057823498123,0.21451518519828447,494,11338
China,0.6165219528178244,0.3834780471821756,0.0320354418407438,0.4789402758032443,0.10554623517383799,763,15053
Emilia Romagna,0.7429733727810651,0.2570266272189349,0.1500179402191843,0.40810958959163246,0.1848458429702462,1183,28126
Great Britain,0.7898936170212766,0.21010638297872342,0.04047728792140392,0.472895377429602,0.2765209516702701,893,22572
Hungary,0.7297501986491856,0.27024980135081444,0.034062302734406594,0.548177219045253,0.14751067686952393,2517,58777
Italy,0.5185879511947128,0.4814120488052872,0.05107299617318001,0.2795815524793028,0.1879334025422315,1967,32642
Japan,0.8159510501355014,0.1840489498644986,0.06444112252189893,0.5304724552141078,0.22103747239948565,1476,38539
Las Vegas,0.5745081018518519,0.42549189814814814,0.0737624235749907,0.34324001273365856,0.15750566554320322,216,3971
Mexico,0.5734463276836158,0.4265536723163842,0.03776119027127311,0.42991546269151726,0.10576967472082645,1062,19488
Miami,0.7220584381551363,0.27794156184486374,0.09598372346180918,0.44351801374961647,0.18255670094371326,954,22043
Monaco,0.8313941076003416,0.1686058923996584,0.04959783268293905,0.5830114013192979,0.19878487359810063,1171,31154
Netherlands,0.8198516023306628,0.1801483976693372,0.06181929704181045,0.5385800526950049,0.21945225259385434,1373,36021
Qatar,0.6621436403508771,0.33785635964912286,0.02526865747382256,0.4929502520843292,0.14392473079272664,228,4831
Saudi Arabia,0.9104369671132765,0.08956303288672351,0.1318568990878046,0.40259827067408915,0.3759817973513828,821,23919
Singapore,0.6685673162090345,0.33143268379096547,0.033936999986589285,0.4657625558850089,0.16886776033743547,1129,24154
Spain,0.7176134092725819,0.2823865907274181,0.02365541857580433,0.5537658158506605,0.1401921748461127,2502,57455
United States,0.7272465437788018,0.2727534562211982,0.010101855669812107,0.5837189999774596,0.13342568813153124,434,10100
