lap,stint,compound,tyre_age,grip_slow,grip_fast,laptime
5,1,MEDIUM,5.0,2.555925989194062,3.5126239845937195,96.748
6,1,MEDIUM,6.0,2.2669037366236435,3.6132399887036333,97.837
7,1,MEDIUM,7.0,2.871194198711798,3.7448432012024866,98.033
8,1,MEDIUM,8.0,2.388092611490147,3.322792056608259,98.148
9,1,MEDIUM,9.0,2.590112741528743,3.702212387733405,98.241
10,1,MEDIUM,10.0,1.9489931458757976,3.5878648202422982,98.301
11,1,MEDIUM,11.0,1.8486276889633613,4.08019632076157,98.519
12,1,MEDIUM,12.0,2.4317841632410984,3.539077154411596,98.651
13,1,MEDIUM,13.0,2.4513409433851825,3.186887602456261,98.689
14,1,MEDIUM,14.0,2.083963714008876,3.325407894081317,119.754
15,1,MEDIUM,15.0,2.4641068752987003,3.3749810852954147,98.373
18,2,MEDIUM,2.0,1.8474313737329286,3.1007119754716186,97.399
19,2,MEDIUM,3.0,2.570439339102661,3.852644191158278,97.769
20,2,MEDIUM,4.0,2.8562388589695114,3.03112792790513,97.344
21,2,MEDIUM,5.0,1.661845420039256,4.105758070686583,97.565
22,2,MEDIUM,6.0,2.5761550496929844,3.427458731295594,97.592
23,2,MEDIUM,7.0,1.71436004456488,3.281377702412617,97.722
24,2,MEDIUM,8.0,2.576000729690026,3.4296211831739862,97.714
25,2,MEDIUM,9.0,2.3453141997768716,3.8362347648307544,97.946
26,2,MEDIUM,10.0,2.089847533080982,3.5376813324733543,97.903
27,2,MEDIUM,11.0,2.0612941796050595,3.291518438583708,97.865
28,2,MEDIUM,12.0,2.3576086955744224,3.9796924425348426,97.558
29,2,MEDIUM,13.0,2.185956464473227,3.5158822394016496,97.424
30,2,MEDIUM,14.0,2.6332937660730127,3.9746898442194523,97.599
31,2,MEDIUM,15.0,2.4259292776232653,3.4858753755003784,97.599
32,2,MEDIUM,16.0,2.4410131748773,2.9990919944956484,97.92
33,2,MEDIUM,17.0,2.257350347207712,3.187889690651378,97.655
34,2,MEDIUM,18.0,1.8407842439645397,3.3004710428494466,97.733
35,2,MEDIUM,19.0,2.2772268470457595,3.3419837167475146,97.788
36,2,MEDIUM,20.0,2.2953656571220273,3.801140080363663,97.82
39,3,HARD,2.0,2.673893195384591,3.5153870531955658,94.183
40,3,HARD,3.0,2.075506777367026,3.2855334550359783,95.914
41,3,HARD,4.0,2.6886808271405878,3.3591869659619773,95.433
42,3,HARD,5.0,2.2600727870586077,4.286381407673483,95.248
43,3,HARD,6.0,2.0028798097400036,3.4825780251007137,95.969
44,3,HARD,7.0,1.8451618713815554,3.9740541828765803,95.462
45,3,HARD,8.0,2.0447853169010313,3.9856054509745595,95.915
46,3,HARD,9.0,2.549103682626909,3.589131614694894,95.983
47,3,HARD,10.0,2.3563416579955394,3.2105255958837278,96.22
48,3,HARD,11.0,2.095467624369438,3.4893739763245355,96.198
49,3,HARD,12.0,1.8843087918966295,3.609403360776071,96.689
50,3,HARD,13.0,2.477746700643532,3.4735230802191177,96.877
51,3,HARD,14.0,2.2427271639672197,3.9017883095009567,96.64
52,3,HARD,15.0,2.1552679507164045,4.112215676644044,97.05
53,3,HARD,16.0,2.0755941968056417,3.505813846592322,96.3
