car,corner,grip
VER,0,1.726926265241643
VER,1,1.355677340654285
VER,2,2.31707111273256
VER,3,1.6422711649054136
VER,4,2.6339046611056736
VER,5,1.7334575268776498
VER,6,2.0914151580418245
VER,7,1.2688843731944865
VER,0,2.2515673689906768
VER,1,2.065144603864343
VER,2,2.1450251789824843
VER,3,1.6437323001597395
VER,4,2.3507073010727346
VER,5,2.257622801705967
VER,6,1.5584690471060683
VER,7,1.3763367846308285
VER,0,1.7115506758511065
VER,1,1.6014874298488508
VER,2,2.3285174688209955
VER,3,1.7418699007431466
VER,4,2.319971694303609
VER,5,2.0978034096336082
VER,6,2.003369573471574
VER,7,1.2984220945429463
VER,0,1.425891433311198
VER,1,1.425891433311198
VER,2,2.227951821499241
VER,3,1.399609254353541
VER,4,2.3793668096235763
VER,5,2.0688652416716278
VER,6,1.2695909954123352
VER,7,1.2234084666892528
VER,0,1.5214095893445367
VER,1,1.5214095893445367
VER,2,2.0231368776582057
VER,3,2.1420615546203106
VER,4,2.479219135758439
VER,5,2.0582089335601594
VER,6,2.1418549658456425
VER,7,1.3763172452899157
VER,0,1.8469455931704215
VER,1,1.615174162686732
VER,2,2.060784174642275
VER,3,1.671928624647518
VER,4,2.8176416647939813
VER,5,1.982117724977928
VER,6,1.984305416838951
VER,7,1.0962940061371647
VER,0,1.8670098438303622
VER,1,1.5521094761946028
VER,2,2.466479433123254
VER,3,1.7466824717277376
VER,4,2.4699965530421935
VER,5,2.2128701150290753
VER,6,1.6886798255324111
VER,7,1.7730845346039916
VER,0,1.5215605128156406
VER,1,1.4851565597577834
VER,2,2.0748406471284992
VER,3,1.9368471159763987
VER,4,2.4192241435850588
VER,5,1.9938027179590376
VER,6,2.2586656703367605
VER,7,1.301749105911822
VER,0,1.9836617134611498
VER,1,1.9852326361354034
VER,2,1.8550548004092515
VER,3,1.8866778301095248
VER,4,2.7257010893310993
VER,5,2.4548550094566264
VER,6,1.9485598954099999
VER,7,2.1921137649605438
VER,0,1.5669738865964624
VER,1,1.5669738865964624
VER,2,2.352256798936951
VER,3,1.7658467493855796
VER,4,2.4407903720050146
VER,5,1.7597053798110769
VER,6,2.025632429398117
VER,7,1.1829034643757028
VER,0,3.115310663760998
VER,1,2.5120520682312546
VER,2,2.0479931762274246
VER,3,1.612234929415389
VER,4,3.705384076189765
VER,5,3.126155392364177
VER,6,2.469676565713024
VER,7,1.4747960252234578
VER,0,1.704074432258442
VER,1,1.619800165461101
VER,2,2.1044175959230076
VER,3,1.7217279784239155
VER,4,2.6787002870656007
VER,5,2.280130032265735
VER,6,1.801850380467844
VER,7,1.165279543613914
VER,0,1.673220551692762
VER,1,1.673220551692762
VER,2,1.8968871363057132
VER,3,1.5780632505218302
VER,4,3.0505206023898697
VER,5,2.488176695071409
VER,6,2.0791523751938477
VER,7,1.2511001819027832
VER,0,2.387953464257834
VER,1,2.387953464257834
VER,2,2.4904835087392803
VER,3,1.7058597277792131
VER,4,2.858935651027145
VER,5,1.945280533920122
VER,6,1.8989256406301527
VER,7,1.201058095486102
VER,0,1.9020699283394207
VER,1,1.9020699283394207
VER,2,2.2331054546588827
VER,3,2.3107123928229947
VER,4,2.7520115431676087
VER,5,2.2672797727153853
VER,6,1.8747108466052573
VER,7,1.1455764451577093
VER,0,1.8855912865793911
VER,1,1.8855912865793911
VER,2,3.043330068477672
VER,3,2.358328915467642
VER,4,2.777451744305293
VER,5,2.4458819851085285
VER,6,1.8516047362299233
VER,7,0.9805441881236235
VER,0,1.5066092716147972
VER,1,1.3210559894154628
VER,2,1.8905390921014031
VER,3,1.7758053144111154
VER,4,2.7892619643084378
VER,5,2.4836246569432476
VER,6,1.7378630046377792
VER,7,1.2273066254661933
VER,0,1.589443576877673
VER,1,1.589443576877673
VER,2,2.166810378736579
VER,3,1.798733518029798
VER,4,2.950394745834565
VER,5,2.445542986615909
VER,6,1.9573595219999524
VER,7,1.4141029172110826
VER,0,1.5900775453859424
VER,1,1.5900775453859424
VER,2,2.374369519572637
VER,3,1.7251827899579768
VER,4,2.8124152779635683
VER,5,2.2242332078985494
VER,6,1.6800622344622467
VER,7,1.2653544744517125
VER,0,1.6197181135069136
VER,1,1.6197181135069136
VER,2,2.291726390280999
VER,3,1.5748181887320005
VER,4,2.408613778525236
VER,5,2.3160183808413812
VER,6,1.8529293001282943
VER,7,1.249734386550152
VER,0,1.7355178884104294
VER,1,1.4179116425993272
VER,2,1.991699846206816
VER,3,2.139300840413042
VER,4,3.098438363987721
VER,5,3.301611256020636
VER,6,2.024145640587755
VER,7,1.1516536300903877
VER,0,1.441792135407628
VER,1,1.441792135407628
VER,2,2.054788920711
VER,3,1.7128367729835223
VER,4,2.979911879728354
VER,5,2.7850536630072167
VER,6,1.8051090082460743
VER,7,1.382738894628133
VER,0,1.310540749980105
VER,1,1.310540749980105
VER,2,2.3039064142300014
VER,3,1.5761114194809376
VER,4,2.6434512640051087
VER,5,1.8076693270937219
VER,6,2.200481430334806
VER,7,1.191754002922121
VER,0,1.6493549528198226
VER,1,1.6045776909942169
VER,2,2.41566694684176
VER,3,1.1201822810268893
VER,4,2.9278821912979542
VER,5,2.684803753448997
VER,6,1.7551495992972272
VER,7,1.7875894957069234
VER,0,1.893009415605227
VER,1,1.515688753453547
VER,2,2.128387910735167
VER,3,1.9785263575993732
VER,4,2.9532980756959866
VER,5,2.0737689289748613
VER,6,1.9943561001020877
VER,7,1.126025868458515
VER,0,1.7204063120199378
VER,1,1.5440432924223513
VER,2,2.0400557205715164
VER,3,1.6781349571455146
VER,4,2.936887195444813
VER,5,2.616598286000941
VER,6,1.923531178588141
VER,7,1.1248926438120435
VER,0,1.527343082252634
VER,1,1.2116682619447703
VER,2,2.0682441988650044
VER,3,1.8167799230024717
VER,4,3.086358459655384
VER,5,2.603402085152831
VER,6,1.9506454550526489
VER,7,1.0926268020353287
VER,0,1.424935955444802
VER,1,1.424935955444802
VER,2,1.9973443576780594
VER,3,1.6764973356706723
VER,4,2.4856077724204666
VER,5,1.6765775505784042
VER,6,1.731483071536082
VER,7,1.497685574940851
VER,0,1.8351560290379088
VER,1,1.8351560290379088
VER,2,2.012066369664976
VER,3,1.9337301618314255
VER,4,2.7749393376006566
VER,5,2.146838438581354
VER,6,1.6826255446106015
VER,7,1.757338061013892
VER,0,1.3319718005187355
VER,1,1.3319718005187355
VER,2,2.340771768442165
VER,3,2.2088516934325044
VER,4,2.7456534847779333
VER,5,1.773082383334006
VER,6,2.130861296789923
VER,7,1.6459130450493753
VER,0,1.4412854138265518
VER,1,1.3381479847158662
VER,2,2.1111546832728463
VER,3,1.5461192021083683
VER,4,2.579332671388312
VER,5,2.33523528186376
VER,6,2.0938446534636608
VER,7,1.1893125526328039
VER,0,0.9192327593233496
VER,1,0.3878457318795462
VER,2,1.4946174466081479
VER,3,0.5299486554536391
VER,4,0.8603527935946949
VER,5,0.8363097677511008
VER,6,1.571680008893691
VER,7,0.8788983927290916
VER,0,1.0923587089291815
VER,1,1.1015170865803863
VER,2,1.2327415190558055
VER,3,0.7278887953824879
VER,4,1.0429306067432924
VER,5,0.7516678904211732
VER,6,1.1062933488739985
VER,7,0.7275427719145916
VER,0,0.7722247738765816
VER,1,0.8864960193280125
VER,2,2.079136843992758
VER,3,0.7114010294842364
VER,4,1.0207296766200087
VER,5,0.8826801806601724
VER,6,0.9637265856199936
VER,7,0.8386670444884841
VER,0,0.887444480845863
VER,1,0.887444480845863
VER,2,0.9455107470275111
VER,3,0.8289824728996822
VER,4,0.8132742748485464
VER,5,0.7659556634333009
VER,6,0.8300582359400333
VER,7,1.338223667249186
VER,0,1.7248363909748816
VER,1,1.5724535029214906
VER,2,2.2228612568371426
VER,3,1.9905788718856487
VER,4,2.7163207926328274
VER,5,2.48958310008309
VER,6,2.110024265507414
VER,7,1.2011847943832352
VER,0,1.7451765632912333
VER,1,1.5324555347987252
VER,2,2.6844543528509
VER,3,2.3944853773197545
VER,4,2.431230184894066
VER,5,1.6892418848240587
VER,6,2.0483830395302403
VER,7,1.4737615491006788
VER,0,1.689491911144161
VER,1,1.689491911144161
VER,2,2.342542918668415
VER,3,1.4173669799861688
VER,4,2.8479529905369687
VER,5,2.1958805008129754
VER,6,2.1501836063331488
VER,7,1.5065635860491797
VER,0,1.9846741843096478
VER,1,2.0373105253552692
VER,2,2.323644554164383
VER,3,2.0941806527559153
VER,4,3.2389461415614837
VER,5,2.6353987324516255
VER,6,2.0513187804056243
VER,7,1.098372344118376
VER,0,1.6664497488070444
VER,1,1.5583720756877713
VER,2,2.625240337034928
VER,3,2.536991131902814
VER,4,3.2363598384954138
VER,5,3.0996745687291947
VER,6,2.3403375681383105
VER,7,1.3298588234406994
VER,0,1.509583919791925
VER,1,1.509583919791925
VER,2,2.578497762210839
VER,3,1.8745238658427048
VER,4,2.6769305203981264
VER,5,2.4015508775080936
VER,6,2.2122234440018897
VER,7,1.293825767607023
VER,0,1.6123103049158716
VER,1,1.5085576165841459
VER,2,2.2097691827841754
VER,3,1.8464218724075452
VER,4,2.9973178479183242
VER,5,2.8928632091550086
VER,6,1.8777925499595476
VER,7,1.242949547889408
VER,0,1.7531750865228473
VER,1,1.7198413687349396
VER,2,2.313850990857267
VER,3,2.035252300787088
VER,4,2.7628857375921623
VER,5,2.0484245047314835
VER,6,2.102959086656352
VER,7,1.1381711569448028
VER,0,1.460981288069576
VER,1,1.2747236892728162
VER,2,2.2345190784122417
VER,3,2.0308549942489127
VER,4,3.2096147134573934
VER,5,3.240331846428562
VER,6,2.403503946146504
VER,7,1.5462003206545911
VER,0,1.7059941636136802
VER,1,1.6824095661181087
VER,2,2.281650613773583
VER,3,1.5407066061311137
VER,4,3.0836755645430465
VER,5,2.4268294679257227
VER,6,2.313956740033228
VER,7,1.4295986754247088
VER,0,1.7040226560720233
VER,1,1.7239364126623142
VER,2,2.1760231234585814
VER,3,1.664805513998216
VER,4,2.988621467387381
VER,5,2.912939312244293
VER,6,2.0519861600330405
VER,7,1.0663517077210272
VER,0,1.8127939551019148
VER,1,1.8127939551019148
VER,2,2.3298823979853394
VER,3,1.4855788205396199
VER,4,2.7406302258691833
VER,5,2.6352761314335376
VER,6,1.9219186709806344
VER,7,1.2300802693179531
VER,0,1.7971470463040318
VER,1,1.719297122510291
VER,2,2.205337231688558
VER,3,1.9733469415326763
VER,4,2.863491197686988
VER,5,2.0986190152514523
VER,6,2.170678223579512
VER,7,1.1294837795550545
VER,0,1.3801711761864062
VER,1,1.3801711761864062
VER,2,1.9256255817237529
VER,3,1.8751484518085242
VER,4,3.397437731781537
VER,5,2.2268670329597495
VER,6,2.1240863263779337
VER,7,1.296598021978093
HAM,0,1.587811479903036
HAM,1,1.5701432358476497
HAM,2,2.0961314956225507
HAM,3,1.7942303856901753
HAM,4,2.3616549060141203
HAM,5,1.4970044246734646
HAM,6,1.7240470375193653
HAM,7,1.6498630635795763
HAM,0,1.7494296174715402
HAM,1,1.5553405103181603
HAM,2,1.6659800090207015
HAM,3,1.2138644653275574
HAM,4,2.400789357485977
HAM,5,1.646884353871045
HAM,6,1.943141324838553
HAM,7,0.8994433828896342
HAM,0,2.414875118182701
HAM,1,2.414875118182701
HAM,2,2.091970121846686
