car,corner,stint,C,age,grip,lt
VER,0,1,2,5.0,2.420807538942115,96.748
VER,1,1,2,5.0,1.515265785840842,96.748
VER,2,1,2,5.0,2.2268870041807705,96.748
VER,3,1,2,5.0,1.093148828224527,96.748
VER,4,1,2,5.0,2.2909847101266174,96.748
VER,5,1,2,5.0,1.70679226232427,96.748
VER,6,1,2,5.0,1.2202433436431366,96.748
VER,7,1,2,5.0,1.4766798779710426,96.748
VER,8,1,2,5.0,1.1570224999368042,96.748
VER,9,1,2,5.0,1.1570224999368042,96.748
VER,10,1,2,5.0,1.9546584481891884,96.748
VER,0,1,2,6.0,2.5470182668510453,97.837
VER,1,1,2,6.0,1.8794385713854267,97.837
VER,2,1,2,6.0,2.506253671033981,97.837
VER,3,1,2,6.0,1.1395040422315528,97.837
VER,4,1,2,6.0,2.482960856105326,97.837
VER,5,1,2,6.0,1.3885887280595572,97.837
VER,6,1,2,6.0,0.8617184678045454,97.837
VER,7,1,2,6.0,1.8515856315130443,97.837
VER,8,1,2,6.0,1.425122316345037,97.837
VER,9,1,2,6.0,1.425122316345037,97.837
VER,10,1,2,6.0,1.2558055031835373,97.837
VER,0,1,2,7.0,2.699069193581335,98.033
VER,1,1,2,7.0,2.055726782627487,98.033
VER,2,1,2,7.0,2.34190831077358,98.033
VER,3,1,2,7.0,1.9567786759567258,98.033
VER,4,1,2,7.0,2.841877900134365,98.033
VER,5,1,2,7.0,1.2969472629639163,98.033
VER,6,1,2,7.0,1.228124592412079,98.033
VER,7,1,2,7.0,1.4364617515306508,98.033
VER,8,1,2,7.0,1.609093873436606,98.033
VER,9,1,2,7.0,1.609093873436606,98.033
VER,10,1,2,7.0,1.7124365495254963,98.033
VER,0,1,2,8.0,2.166324540562936,98.148
VER,1,1,2,8.0,1.6515260867223365,98.148
VER,2,1,2,8.0,1.9821809660929852,98.148
VER,3,1,2,8.0,1.307751464003299,98.148
VER,4,1,2,8.0,2.90786120493592,98.148
VER,5,1,2,8.0,1.3269200818728146,98.148
VER,6,1,2,8.0,1.1588309417081686,98.148
VER,7,1,2,8.0,1.841463129502011,98.148
VER,8,1,2,8.0,0.9524988884125319,98.148
VER,9,1,2,8.0,0.9524988884125319,98.148
VER,10,1,2,8.0,1.837112762802879,98.148
VER,0,1,2,9.0,2.3685506306829067,98.241
VER,1,1,2,9.0,1.9770315395764837,98.241
VER,2,1,2,9.0,1.9083359836728697,98.241
VER,3,1,2,9.0,1.7755620610333416,98.241
VER,4,1,2,9.0,2.39776609427135,98.241
VER,5,1,2,9.0,2.1178655400266404,98.241
VER,6,1,2,9.0,2.4419917789259324,98.241
VER,7,1,2,9.0,1.916345633991631,98.241
VER,8,1,2,9.0,1.3425215992257185,98.241
VER,9,1,2,9.0,1.633288412772038,98.241
VER,10,1,2,9.0,1.241574881963214,98.241
VER,0,1,2,10.0,2.4755502030043344,98.301
VER,1,1,2,10.0,2.1754908664860135,98.301
VER,2,1,2,10.0,2.2397965275241765,98.301
VER,3,1,2,10.0,1.7597155687891206,98.301
VER,4,1,2,10.0,2.3900754365592642,98.301
VER,5,1,2,10.0,1.211733536087496,98.301
VER,6,1,2,10.0,1.2068862562559004,98.301
VER,7,1,2,10.0,0.9481750485947003,98.301
VER,8,1,2,10.0,1.5723086984524632,98.301
VER,9,1,2,10.0,1.5723086984524632,98.301
VER,10,1,2,10.0,1.5913026029446318,98.301
VER,0,1,2,11.0,2.4000337987268656,98.519
VER,1,1,2,11.0,1.807804453374414,98.519
VER,2,1,2,11.0,2.039385946721715,98.519
VER,3,1,2,11.0,1.809116815868861,98.519
VER,4,1,2,11.0,1.8121766139635505,98.519
VER,5,1,2,11.0,1.5516905599745516,98.519
VER,6,1,2,11.0,0.9436606999371433,98.519
VER,7,1,2,11.0,1.9015245281616144,98.519
VER,8,1,2,11.0,1.3349335394406259,98.519
VER,9,1,2,11.0,1.3349335394406259,98.519
VER,10,1,2,11.0,1.2583995535343016,98.519
VER,0,1,2,12.0,1.6562480239660242,98.651
VER,1,1,2,12.0,1.6453581835397704,98.651
VER,2,1,2,12.0,1.8332393837405738,98.651
VER,3,1,2,12.0,1.512878272397959,98.651
VER,4,1,2,12.0,1.8402890918447776,98.651
VER,5,1,2,12.0,1.2234538429745248,98.651
VER,6,1,2,12.0,0.9644492243493651,98.651
VER,7,1,2,12.0,1.0678029994094347,98.651
VER,8,1,2,12.0,1.3143795025552056,98.651
VER,9,1,2,12.0,1.3143795025552056,98.651
VER,10,1,2,12.0,1.3551233967120262,98.651
