car,corner,grip
VER,0,2.4938841313079876
VER,1,2.4938841313079876
VER,2,2.5369194529055714
VER,3,2.223101623089074
VER,4,1.0301686770896732
VER,5,2.3453307610356102
VER,6,2.651694397932066
VER,7,2.0128117888724706
VER,8,2.554937991055894
VER,9,2.9363232090948093
VER,0,3.090317742522102
VER,1,3.090317742522102
VER,2,2.4362784877678165
VER,3,2.0599279321508286
VER,4,0.9348447326215125
VER,5,2.205916143947703
VER,6,2.5862636852394894
VER,7,1.7237436400302766
VER,8,2.351857438161875
VER,9,1.3172395848481
VER,0,1.7994728536933167
VER,1,4.339683678579679
VER,2,2.415847254166386
VER,3,1.773842834488941
VER,4,0.893071810412609
VER,5,2.394248818473074
VER,6,2.6800606995231684
VER,7,1.5002800908787273
VER,8,2.3047057304789074
VER,9,1.8382670448672989
VER,0,1.8239726506624656
VER,1,1.8239726506624656
VER,2,2.297202860480184
VER,3,2.043944836808521
VER,4,0.9955239359191844
VER,5,2.189124474199132
VER,6,3.3011556865252847
VER,7,1.7263871277464566
VER,8,2.226806883008847
VER,9,1.971956454049546
VER,0,2.171780976608239
VER,1,2.171780976608239
VER,2,2.4515699215503353
VER,3,1.8797132230037936
VER,4,0.7904625862546613
VER,5,2.664996819340353
VER,6,2.3302881414120633
VER,7,1.628950060103298
VER,8,2.4372664555802555
VER,9,1.7080452458375408
VER,0,1.7711842290932218
VER,1,1.7711842290932218
VER,2,2.303106313092858
VER,3,1.845136992295456
VER,4,1.2016713613689838
VER,5,2.174660692459922
VER,6,2.647543946740602
VER,7,1.6698467438348628
VER,8,2.0470939548427167
VER,9,1.6296980329615005
VER,0,2.272390063801441
VER,1,2.272390063801441
VER,2,2.650537591821906
VER,3,2.1018950091945525
VER,4,1.3316676903359914
VER,5,2.77438805209534
VER,6,3.5684655725254433
VER,7,1.479832923535706
VER,8,1.827962955482306
VER,9,1.287912752015427
VER,0,2.012495800877962
VER,1,2.012495800877962
VER,2,2.422274287408376
VER,3,1.8243574570144456
VER,4,1.078523224266401
VER,5,2.0923345656113583
VER,6,2.1141296334339006
