file	block_line	property
commands\SimCommand.m	20	MODULE_ENV
commands\SimCommand.m	20	MODULE_SENSOR
commands\SimCommand.m	20	MODULE_FSW
commands\SimCommand.m	20	MODULE_SUBSYSTEM
commands\SimCommand.m	20	VALID_MODULES
core\BodyDefinition.m	9	mass
core\BodyDefinition.m	9	inertia
core\BodyDefinition.m	9	center_of_gravity_body
core\BodyDefinition.m	9	links
core\BodyDefinition.m	9	joints
core\BodyDefinition.m	9	body_type
core\BodyDefinition.m	9	aero_plates
core\BodyDefinition.m	9	aero_enabled
core\Constants.m	4	MU_EARTH
core\Constants.m	4	R_EARTH
core\Constants.m	4	STANDARD_GRAVITY
core\Constants.m	4	METERS_PER_KILOMETER
core\Constants.m	4	SECONDS_PER_MINUTE
core\Constants.m	4	EPSILON
core\Constants.m	4	MIN_DENOMINATOR
core\Constants.m	4	NORMALIZATION_TOLERANCE
core\Constants.m	4	NORMALIZATION_TOL
core\Constants.m	4	QUATERNION_VALIDITY_TOLERANCE
core\Constants.m	4	QUATERNION_VALIDITY_TOL
core\Constants.m	4	MIN_DIRECTION_NORM
core\Constants.m	4	UNIT_VECTOR_TOLERANCE
core\Constants.m	4	MIN_QUATERNION_NORM
core\Constants.m	4	MAX_QUATERNION_NORM
core\Constants.m	4	QUATERNION_TOLERANCE
core\Constants.m	4	QUATERNION_CATASTROPHIC_MIN_NORM
core\Constants.m	4	QUATERNION_CATASTROPHIC_MAX_NORM
core\Constants.m	4	QUATERNION_CATASTROPHIC_DRIFT_TOL
core\Constants.m	4	QUATERNION_DRIFT_WARN_THRESHOLD
core\Constants.m	4	ONE_QUARTER
core\Constants.m	4	ROTATION_MATRIX_TOLERANCE
core\Constants.m	4	ATMOSPHERE_RHO0
core\Constants.m	4	ATMOSPHERE_H0
core\Constants.m	4	ATMOSPHERE_SCALE_HEIGHT
core\Constants.m	4	DRAG_MAX_DETAILED_ALTITUDE_M
core\Constants.m	4	DRAG_MIN_ALTITUDE_M
core\Constants.m	4	DEFAULT_SOLAR_ARRAY_DRAG_COEFFICIENT
core\Constants.m	4	MIN_TIME_STEP
core\Constants.m	4	MAX_TIME_STEP
core\Constants.m	4	DEFAULT_INTEGRATION_DT_CORE
core\Constants.m	4	ATTITUDE_COMMAND_THRESHOLD_FRACTION
